rasm,val
222,1
222,1
222,1
222,1
2222,1
22222,1
222223,1
222232,1
22226,1
22262,1
2227,1
2233236,1
2262,1
22622,1
31106222,1
32,1
32222,1
322223,1
32223232,1
32232365,1
322332,1
33322,1
3441223376,1
36224,1
403222224,1
422,1
42222,1
422222,1
42222205,1
42222206,1
42224,1
433227,1
4362223236,1
4403222,1
5322222427,1
54222,1
55473222227,1
6222,1
6626,1
6666,1
72223226,1
2764364-,2
33544-235,2
34-4240,2
34-433,2
3567-5,2
364-,2
4-354,2
4-373,2
4-43,2
40135-44,2
415-3533,2
5-3027,2
54364,2
6-4364,2
6-55,2
6-553,2
6447,2
65-43,2
65-53,2
0071712723,3
2+54,3
2+56,3
2414+55,3
3+46,3
344+70,3
36543,3
433712+,3
5+65,3
5+76,3
535343+,3
54+64,3
653+714+,3
6533+,3
65353553,3
743,3
7656156456766,3
+03+5,4
030234+523,4
2+554,4
3+5560123,4
543+52,4
51424+4363,5
555353147543,5
4740-07037,6
535-414403117,6
53534-440,6
535423474540-,6
4535-344244,7
7245-45,7
444570677744,8
14332665,10
21,10
2455543210,10
3375454+3,10
35254437326,10
3644,10
365556,10
3754+6,10
3754446,10
375446,10
3754547,10
37557,10
42264423,10
5762555357,10
635423,10
644234+03,10
7254+7,10
7641447,10
76514+44+7,10
7654,10
05555554,12
2547555445,12
331546554445,12
333554,12
37544,12
447755444443,12
54317075,12
5552037,12
65445,12
6554043,12
65543,12
6555355,12
655554444,12
66544,12
6663504440,12
6716605557,12
673554547,12
6755444,12
75415446,12
75441406,12
7553544400204,12
76444,12
765255+47,12
765556,12
231155453442,14
257435535-3154,14
2643643643,14
35435444,14
45555665335315,14
523364535,14
54354344,14
5435435443454543,14
543553465443426,14
54443554,14
5555547673665,14
555555534,14
642442444,14
6454443,14
653474552314440435,14
6536436,14
654354,14
654355535474035427,14
23553474004355,18
764440222226,18
423541555,20
5442320403,20
1434+677655,22
2243+46,22
2535313+,22
3033+5,22
334+6764,22
34255663313+512276,22
3434414344,22
3531133+467,22
3607014+,22
4000014321+,22
43443775443+,22
435133534,22
44613+654,22
53431+055,22
5354322+70,22
557-33134,22
60001701700,22
611+0,22
2+13+,23
23+5664,23
3+606543,23
335+77554,23
414+5606553,23
420+63475,23
43224+654,23
4606544,23
464454544431,23
543+76365542,23
54364443,23
56710655555+,23
27545033567+,25
654464,25
555454636666665,26
017727022,26
136441142,26
411121211512,26
4321,26
522310+1111142146,26
54547666,26
55545477666,26
555455766263153,26
555546777654,26
55555566661,26
5555747665,26
55566665,26
5561445457176744,26
66551665143,26
6665064654224,26
002223226,28
323235,28
34+122252,28
40022223,28
6026506444356,28
66176645,28
662541,28
665245,28
66543,28
66634,28
666464347,28
666653,28
666654,28
666754,28
667654,28
6703664,28
6762554,28
6762645,28
7322337,28
740322226,28
762565,28
763644+40,28
7763674644,28
246456,29
31355744,29
3476444,29
3564,29
3575,29
36355705454,29
42033565,29
4364,29
4434,29
44535,29
4543456-307,29
45471,29
463465706677,29
464453,29
46464415+6,29
473554,29
50643,29
525235560,29
5315532,29
5431,29
54354,29
5456+64536,29
576435,29
635666,29
6433566630,29
645246674,29
7656156456766,29
254+43,30
3244+53,30
33644433+263,30
34272+055,30
35+544,30
4+64403,30
42+6201,30
43421+510,30
45+64,30
54+400123,30
54+40123,30
54433322+,30
643+,30
64413+7,30
654+4040+6,30
654434334,30
7020+7,30
74+753,30
75153453+76,30
754+44476,30
754442+76,30
346075544440,31
231346555544032,31
23577544+44,31
3353457005541440323,31
33567-555443211+03+5,31
34356-00065556,31
3445701655552176,31
352457715444,31
3754454034576,31
405544654744536,31
4317554,31
436414217554544447,31
445375555,31
44642420545,31
454043235421,31
4607075234444407,31
465453543432,31
475775545440,31
5240310225,31
534431457535545,31
5475444444203,31
5554534350372,31
57352276554443433,31
616465544425,31
6365444543173,31
65523420445,31
75544443033145,31
01345226,33
03135,33
1+71+3,33
21135652,33
2342644244,33
2353467740,33
24134241054415424,33
34606035,33
35746,33
3575616617,33
43335,33
453532411,33
456016,33
6433443254,33
653214,33
42742420,34
45735,34
56516,34
57656,34
-4326,35
143-31533,35
2644-32,35
3345-,35
345-6,35
4-33,35
403456-,35
436-334,35
44-4-22,35
44-45,35
4424-342,35
44450544-44256,35
47754-,35
5-444326,35
54-4-33444,35
54-423,35
5474-4,35
55-4,35
55614-4436,35
565-33,35
6-01222,35
614435-3,35
635-44325,35
64-4324,35
644-,35
65-3364,35
65-544,35
6555-43,35
5247755444401,36
567753633732,36
65443+,37
